Class,Super-Category,Category ,Description,Test URL
Bandwidth Loss,Entertainment/Recreation,Entertainment,"Sites that provide information on or promote mass entertainment media such as theatre, amusement parks, music, comics, fan clubs, and so on.",www.zscaler.com/url-categorization/Entertainment
Bandwidth Loss,Entertainment/Recreation,Music and Audio Streaming,"Sites that promote music for entertainment purposes related to bands, orchestras, festivals, and so on. It also includes audio streaming websites.",www.zscaler.com/url-categorization/Music-and-Audio-Streaming
Bandwidth Loss,News and Media,News and Media,"Sites that report information or commentary on current events or contemporary issues, including newspapers, news wire services, news magazines, and radio news stations.",www.zscaler.com/url-categorization/News-and-Media
Bandwidth Loss,Entertainment/Recreation,Other Entertainment/Recreation,Other sites related to entertainment/recreation that are not included in the defined categories.,www.zscaler.com/url-categorization/Other-Entertainment_Recreation
Bandwidth Loss,Entertainment/Recreation,Radio,Sites that offer streaming or downloadable radio programming.,www.zscaler.com/url-categorization/Radio
Bandwidth Loss,Entertainment/Recreation,Television/Movies,Sites related to television programming or movies. ,www.zscaler.com/url-categorization/Television_Movies
Bandwidth Loss,Entertainment/Recreation,Video Streaming,Sites that are related to streaming video.,www.zscaler.com/url-categorization/Video-Streaming
Business Use,Information Technology,Advertising,"Sites that provide service links, banners, or ads for websites.",www.zscaler.com/url-categorization/Advertising
Business Use,Internet Communication,Blogs,"Sites related to online journals, diaries, or newsletters that express personal thoughts/opinions about internet, social, or political issues.",www.zscaler.com/url-categorization/Blogs
Business Use,Information Technology,CDN,Sites that use content delivery networks to optimize the delivery of localized content to end users.,www.zscaler.com/url-categorization/CDN
Business Use,Business and Economy,Classifieds,"Sites that display advertisements for sale or purchase of goods and services. It also includes sites like the marriage bureau, etc.",www.zscaler.com/url-categorization/Classifieds
Business Use,Education,Continuing Education/Colleges,Sites related to institutions and colleges offering formal courses of advanced studies for adults.,www.zscaler.com/url-categorization/Continuing-Education_Colleges
Business Use,Business and Economy,Corporate Marketing,Sites that offer corporate and product information but do not sell products.,www.zscaler.com/url-categorization/Corporate-Marketing
Business Use,Information Technology,Developer Tools,"Sites that provide tools used by developers for coding, debugging, testing and managing software projects. This category includes websites and online platforms related to software development, programming and IT infrastructure.",www.zscaler.com/url-categorization/Developer-Tools
Business Use,Internet Communication,Discussion Forums,"Sites related to Usenet, Usenet news, forums, newsgroups, or online bulletin board systems.",www.zscaler.com/url-categorization/Discussion-Forums
Business Use,Information Technology,DNS Over HTTPS Services,Sites that provide DNS resolution over an encrypted and secure connection with the DNS over HTTPS service. This category includes DNS server URLs that support DNS resolution using the HTTPS protocol.,www.zscaler.com/url-categorization/DNS-Over-HTTPS-Services
Business Use,Information Technology,File Convertors,Sites and services that allow users to convert files from one format to another.,www.zscaler.com/url-categorization/File-Convertors
Business Use,Information Technology,File Host,"Sites that offer hosting, backup, and sharing of files on the Internet.",www.zscaler.com/url-categorization/File-Host
Business Use,Business and Economy,Finance,Sites that provide information related to financial investment and firms that offer financial services. It doesn't include websites that are related to insurance.,www.zscaler.com/url-categorization/Finance
Business Use,Information Technology,General AI and ML Applications,"Sites that offer non-generative AI and ML applications and services. This category include websites for AI research labs, AI-powered solution providers, AI/ML app demonstrations and tutorials, and that enable automation with AI and ML.",www.zscaler.com/url-categorization/General-AI-and-ML-Applications
Business Use,Information Technology,Generative AI and ML Applications,"Sites that provide tools, services, or information related to generative AI (i.e., a subfield of artificial intelligence that can generate new text, images, videos, or audio.).",www.zscaler.com/url-categorization/Generative-AI-and-ML-Applications
Business Use,Education,History,"Sites that offer a systematic recording of past events or analysis and commentary on causes and effects, motives, or connections relating to events.",www.zscaler.com/url-categorization/History
Business Use,Information Technology,Image Host,"Sites that provide video or image hosting, linking, and/or sharing.",www.zscaler.com/url-categorization/Image-Host
Business Use,Business and Economy,Insurance,"Sites that allow users to compare and buy insurance policies and resources explaining specific types of insurance (e.g., life insurance, health insurance). This category include company websites that provide self-service options for managing policies.",www.zscaler.com/url-categorization/Insurance
Business Use,Internet Communication,Internet Services,Sites that offer online utility applications or services that assist in internet communication.,www.zscaler.com/url-categorization/Internet-Services
Business Use,Job/Employment Search,Job/Employment Search,"Sites that provide employment services, assistance in finding employment, or tools for locating employers.",www.zscaler.com/url-categorization/Job_Employment-Search
Business Use,Education,K-12,Sites related to the education of children.,www.zscaler.com/url-categorization/K-12
Business Use,Internet Communication,Online Chat,"Sites that offer access to, software for, or participation in any internet chat forum. Chat is defined as any online conversation taking place in real-time.",www.zscaler.com/url-categorization/Online-Chat
Business Use,Business and Economy,Online Trading and Brokerage,"Sites that provide trading of securities and management of investment assets. It also includes sites that offer financial investment strategies, quotes, and news.",www.zscaler.com/url-categorization/Online-Trading-and-Brokerage
Business Use,Information Technology,Operating System and Software Updates,"Sites and links that are used for downloading operating systems such as Windows, iOS, etc. and software updates.",www.zscaler.com/url-categorization/Operating-System-and-Software-Updates
Business Use,Business and Economy,Other Business and Economy,Other sites related to business and economy that are not classified in any of the defined categories.    ,www.zscaler.com/url-categorization/Other-Business-and-Economy
Business Use,Education,Other Education,Other sites related to education that are not included in the defined categories.    ,www.zscaler.com/url-categorization/Other-Education
Business Use,Information Technology,Other Information Technology,Other sites related to information technology that are not included in the defined categories.   ,www.zscaler.com/url-categorization/Other-Information-Technology
Business Use,Internet Communication,Other Internet Communication,Other sites related to internet communications that are not included in the defined categories.,www.zscaler.com/url-categorization/Other-Internet-Communication
Business Use,Internet Communication,Peer-to-Peer Site,Sites that provide client software to enable peer-to-peer file sharing and transfers.,www.zscaler.com/url-categorization/Peer-to-Peer-Site
Business Use,Information Technology,Portals,Sites that offer multiple web-based services to assist a user's experience on the internet.,www.zscaler.com/url-categorization/Portals
Business Use,Business and Economy,Professional Services,Sites that provide information about or are related to the sale and delivery of technical and professional services.,www.zscaler.com/url-categorization/Professional-Services
Business Use,Education,Reference Sites,Sites that offers scholars and academics source documents and research assistance.,www.zscaler.com/url-categorization/Reference-Sites
Business Use,Internet Communication,Remote Access Tools,Sites that provide information or software to enable authorized access to a desktop computer or private network from a remote location.,www.zscaler.com/url-categorization/Remote-Access-Tools
Business Use,Information Technology,Safe Search Engine,Sites that provide Internet search services geared specifically for families and children and prevent discovery of objectionable material.,www.zscaler.com/url-categorization/Safe-Search-Engine
Business Use,Education,Science/Tech,Sites related to education in science and technology.,www.zscaler.com/url-categorization/Science_Tech
Note: The categories under the Microsoft Office 365 super-category apply only to SSL Inspection policy.,,,,
Business Use,Microsoft Office 365,MS O365 Allow,,
Business Use,Microsoft Office 365,MS O365 Default,,
Business Use,Microsoft Office 365,MS O365 Optimize,,
Business Use,Information Technology,Shareware Download,Sites that are related to or offer downloading of large number of legal third party software.,www.zscaler.com/url-categorization/Shareware-Download
Business Use,Information Technology,Translators,"Sites that offer translation services for web pages, URLs, or other text strings.",www.zscaler.com/url-categorization/Translators
Business Use,Internet Communication,Web Conferencing,Sites that assist in conducting video conferencing or provide software to enable virtual meetings.,www.zscaler.com/url-categorization/Web-Conferencing
Business Use,Information Technology,Web Host,"Sites that offer web hosting services, as well as domain names and web space, to host end user web pages.",www.zscaler.com/url-categorization/Web-Host
Business Use,Information Technology,Web Search,"Sites that offer search services for the internet, indices, and directories.",www.zscaler.com/url-categorization/Web-Search
Business Use,Internet Communication,Webmail,"Sites that provide email accounts, free or otherwise.",www.zscaler.com/url-categorization/Webmail
Business Use,Internet Communication,Zscaler Proxy Ips,This category includes IP addresses owned by Zscaler's data centers and services such as IP addresses of the Public Service Edge on a cloud and global VIP service.,
General Surfing,Government and Politics,Government,Sites related to governments and their agencies or militaries.,www.zscaler.com/url-categorization/Government
General Surfing,Government and Politics,Military,"Sites related to military or armed forces, excluding those that discuss or sell weapons.",www.zscaler.com/url-categorization/Military
General Surfing,Miscellaneous,Miscellaneous or Unknown,Sites that have not yet been classified.,www.zscaler.com/url-categorization/Miscellaneous-or-Unknown
General Surfing,Miscellaneous,Newly Registered and Observed Domains,Sites whose domains were created in the last 30 days and are currently not categorized by Zscaler. This category also includes domains that we encounter for the first time. Domains under this category are considered suspicious until they are categorized or better understood by Zscaler.,www.zscaler.com/url-categorization/Newly-Registered-and-Observed-Domains
General Surfing,Miscellaneous,Non Categorizable,"Sites that Zscaler has not been able to categorize. Some of the reasons a site may appear here are that the site is a login page without any other details, it no longer exists, or it is unresolvable on the internet",www.zscaler.com/url-categorization/Non-Categorizable
General Surfing,Government and Politics,Other Government and Politics,Other sites related to government and politics that are not included in the defined categories.,www.zscaler.com/url-categorization/Other-Government-and-Politics
General Surfing,Miscellaneous,Other Miscellaneous,Other sites that are not included in the defined categories.,www.zscaler.com/url-categorization/Other-Miscellaneous
General Surfing,Government and Politics,Politics,"Sites related to, or sponsored by, organizations that seek to influence viewpoints, change or reform public policy, public opinion, or government practices.",www.zscaler.com/url-categorization/Politics
General Surfing,Travel,Travel,"Sites related to travel planning, information, or activities, including reservation services, destination listings, and special event promotion.",www.zscaler.com/url-categorization/Travel
General Surfing,Vehicles,Vehicles,"Sites that provide information about or promote vehicles, or offer for purchase vehicle parts or maintenance.",www.zscaler.com/url-categorization/Vehicles
Legal Liability,Adult Material,Adult Sex Education,Sites related to sex education and targeted at adult readers.,www.zscaler.com/url-categorization/Adult-Sex-Education
Legal Liability,Adult Material,Adult Themes,"Sites related to adult content not covered by more specific categories, for example, penile enlargement, erectile dysfunction, adult entertainment, and so on. ",www.zscaler.com/url-categorization/Adult-Themes
Legal Liability,Illegal or Questionable,Anonymizer,Sites that allow users to surf the Internet and/or send email anonymously by providing proxy bypass functionality or information or instructions on how to do so.,www.zscaler.com/url-categorization/Anonymizer
Legal Liability,Adult Material,Body Art,"Sites that provide information about artistic sexual expression or information about or images of body piercing, tattoos, and any form of body art.",www.zscaler.com/url-categorization/Body-Art
Legal Liability,Illegal or Questionable,Computer Hacking,"Sites related to the promotion of illegal tools and mechanisms to crack passwords, generate and distribute malicious software, or gain unauthorized access to computer systems.",www.zscaler.com/url-categorization/Computer-Hacking
Legal Liability,Illegal or Questionable,Copyright Infringement,"Sites related to bootlegged or otherwise illegally available copyrighted material, such as program, DVD movies, and CD or MP3 music.",www.zscaler.com/url-categorization/Copyright-Infringement
Legal Liability,Gambling,Gambling,"Sites that provide online gambling or are related to gambling assistance, training information, or advocacy.",www.zscaler.com/url-categorization/Gambling
Legal Liability,Adult Material,K-12 Sex Education,"Sites associated with sex education for children, including sites that offer information about sex, human reproduction, or any other sexually oriented material used to educate.",www.zscaler.com/url-categorization/K-12-Sex-Education
Legal Liability,Adult Material,Lingerie/Bikini,Sites that display or are dedicated to lingerie or swimsuits that could be considered inappropriate for teenagers and younger children.,www.zscaler.com/url-categorization/Lingerie_Bikini
Legal Liability,Drugs,Marijuana,"Sites that promote or discuss the cultivation, manufacture, distribution or sale of marijuana for recreational or medicinal purposes. It includes web pages on legalizing marijuana, using marijuana for medicinal purposes, marijuana facts and info pages, and sites that mention hemp, cannabis, blunts, panama red, etc.",www.zscaler.com/url-categorization/Marijuana
Legal Liability,Illegal or Questionable,Mature Humor,"Sites that contain humor and mature themes unsuitable for teenagers and children, but no pornography or strong profanity.",www.zscaler.com/url-categorization/Mature-Humor
